1,1,12
1,2,12
1,3,7
1,4,11
1,5,9
1,6,15
1,7,24
1,8,71
1,9,32
1,10,8
2,1,13
2,2,9
2,3,13
2,4,11
2,5,19
2,6,8
2,7,33
2,8,57
2,9,38
2,10,12
3,1,10
3,2,10
3,3,13
3,4,11
3,5,11
3,6,9
3,7,49
3,8,81
3,9,61
3,10,33
4,1,10
4,2,10
4,3,6
4,4,9
4,5,11
4,6,9
4,7,32
4,8,71
4,9,31
4,10,19
5,1,14
5,2,17
5,3,13
5,4,7
5,5,10
5,6,8
5,7,16
5,8,18
5,9,7
5,10,10
6,1,13
6,2,31
6,3,8
6,4,11
6,5,18
6,6,19
6,7,19
6,8,9
6,9,10
6,10,11
7,1,12
7,2,28
7,3,8
7,4,19
7,5,11
7,6,16
7,7,8
7,8,18
7,9,10
7,10,10
8,1,45
8,2,58
8,3,31
8,4,31
8,5,8
8,6,14
8,7,20
8,8,39
8,9,19
8,10,15
9,1,7
9,2,30
9,3,16
9,4,19
9,5,13
9,6,10
9,7,16
9,8,22
9,9,10
9,10,15
10,1,10
10,2,8
10,3,14
10,4,5
10,5,12
10,6,13
10,7,15
10,8,10
10,9,12
10,10,8
