1,1,24
1,2,16
1,3,19
1,4,20
1,5,19
1,6,12
1,7,17
1,8,15
1,9,13
1,10,19
2,1,27
2,2,17
2,3,14
2,4,21
2,5,10
2,6,11
2,7,15
2,8,8
2,9,11
2,10,14
3,1,15
3,2,11
3,3,10
3,4,15
3,5,21
3,6,14
3,7,11
3,8,17
3,9,9
3,10,14
4,1,20
4,2,14
4,3,18
4,4,19
4,5,15
4,6,12
4,7,17
4,8,12
4,9,7
4,10,22
5,1,14
5,2,13
5,3,17
5,4,9
5,5,12
5,6,19
5,7,11
5,8,16
5,9,16
5,10,20
6,1,18
6,2,12
6,3,24
6,4,17
6,5,12
6,6,13
6,7,27
6,8,20
6,9,14
6,10,16
7,1,18
7,2,17
7,3,18
7,4,20
7,5,15
7,6,14
7,7,14
7,8,16
7,9,19
7,10,23
8,1,14
8,2,17
8,3,22
8,4,14
8,5,18
8,6,14
8,7,15
8,8,9
8,9,17
8,10,18
9,1,21
9,2,17
9,3,13
9,4,20
9,5,12
9,6,15
9,7,15
9,8,21
9,9,12
9,10,12
10,1,17
10,2,10
10,3,23
10,4,22
10,5,13
10,6,12
10,7,15
10,8,21
10,9,20
10,10,12
